INDEX,NAME,ADDRESS,PHONE_NUMBER,RATING,REVIEWS,PRICE,TYPE,OPERATING_HOURS,GOOGLE_MAPS_LINK,LATITUDE,LONGITUDE
82,"EuroKids PreSchool in Jeevkarnagar, Surat","No. 67, Vesu Canal Rd, nr. Jamna Nagar, Sant Tukaram Society -3, Jeevkar Nagar, Athwa, Surat, Gujarat 395001, India",+91 92654 56608,4.9,41,-,Preschool,Closes soon · 5 PM · Opens 9 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJxQRkQLBN4DsRaYjC2pZr72Y,21.1691763,72.81003059999999
83,Anglo Urdu High School,"6R2F+C57, Municipal Corporation, Sodagerwad Rd, Turkiwad, Behind, Surat, Gujarat 395003, India",+91 98980 25959,-,-,-,High school,Closed · Opens 9 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJkyXbiolO4DsRg0fLDf41XHw,21.200566,72.82197699999999
84,Akshar Jyoti High School,"6RPG+48V, Gopalgram Society, Amba Talavadi Rd, beside Patidar Samaj Hall, Katargam, Surat, Gujarat 395004, India",+91 261 248 5816,-,-,-,High school,Open 24 hours,https://www.google.com/maps/place/?q=place_id:ChIJ820Xl7dO4DsRgdhrA3Z3FuI,21.2353536,72.82578409999999
85,Alchemy School,"31/A, Parvat Patia Canal Rd, Simada Gam, Chokdi, Ladvi, Gujarat 394325, India",+91 98258 15678,-,-,-,General education school,Closed · Opens 7:30 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJJ8fntfxE4DsR7lSHhsBJ9yg,21.2011692,72.9505886
86,N M Zaveri Union High School,"Chhakapir Gali, near Apna Bazar, Lal Darwaja, Surat, Gujarat 395003, India",+91 94266 53500,-,-,-,High school,Open · Closes 5:30 PM,https://www.google.com/maps/place/?q=place_id:ChIJywrepWNO4DsRB9Fbd-1i9d8,21.1993115,72.8273875
87,Uttar Gujarat School,"Nr. Vaibhav Complex, Bhatar Rd, Janta Nagar, Bhatar, Athwa, Surat, Gujarat 395001, India",-,-,-,-,Secondary school,Closes soon · 5 PM · Opens 11 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJ4c9x-xFO4DsRvuWIC9Z-GEo,21.1689457,72.8165325
88,R.K.Public School,"Nilkanth Society, Panchvati Society, Amroli, Surat, Gujarat 394107, India",+91 98242 91490,-,-,-,General education school,Closes soon · 5 PM · Opens 7 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJR-T2x5hP4DsRzIzrNMZNvUI,21.243807999999998,72.8475691
89,Shreyas school,"Asha Nagar 2nd Rd, near Ashanagar, opposite Mahadev Nagar, Narmad Nagar, Harinagar-2, Asha Nagar, Udhana, Surat, Gujarat 394210, India",+91 95863 60505,-,-,-,Combined primary and secondary school,Closes soon · 5 PM · Opens 7 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJs-k8yiVO4DsRh0NVZ3yDGRg,21.161389699999997,72.8371215
90,Exp School,"Parler Point, Shri Shakti Nagar Society, Athwalines, Athwa, Surat, Gujarat 395007, India",+91 261 225 4029,-,-,-,General education school,Open · Closes 5:30 PM,https://www.google.com/maps/place/?q=place_id:ChIJ16XIuN5N4DsRQJ1plEI8Hvo,21.175684099999998,72.792793
91,"Little Millennium Preschool - Pal, Surat","No 1/2, Rajratna Enclave, Bhind Nishal Arcade, Adajan, opposite Park Arena Road, Pal Gam, Surat, Gujarat 394510, India",+91 8071 265 213,4.8,94,-,Preschool,Closed · Opens 8:45 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJJzBT7Z1N4DsRc0p2RCaTqAg,21.183683199999997,72.7762566
92,I.P.Mission School,"2, I.p Mission School, mandi App, Muglisara Main Rd, Mughal Sarai, Surat, Gujarat 395003, India",+91 97260 33313,-,-,-,High school,Open · Closes 10 PM,https://www.google.com/maps/place/?q=place_id:ChIJczUxdIlO4DsRl8ySS2yVRz8,21.2016146,72.8211907
93,Parvati Public School,"367, Bamroli Rd, Ganpat Nagar, Pandesara, Udhana, Surat, Gujarat 394210, India",+91 88664 55123,-,-,-,State board school,Open · Closes 5:30 PM,https://www.google.com/maps/place/?q=place_id:ChIJJwqPJSJO4DsRZkHh4h23L3A,21.1562122,72.8272892
94,L.H. Boghra (Shishuvihar) School,"Nagardas hall, Anand Mahal Rd, Khodiyar Nagar, Muktanand Nagar, Nera, Surat, Gujarat 395009, India",+91 261 278 2184,-,-,-,General education school,Open · Closes 6 PM,https://www.google.com/maps/place/?q=place_id:ChIJ4_ZE6hhO4DsRBHHC8mhoU-k,21.1954723,72.79924319999999
95,Little Genius Pre School,"8, 120 Feet Bamroli Rd, opp. WELCOME PAN CENTRE, Ashirwad Township 2, Pandesara, Udhana, Surat, Gujarat 394210, India",+91 63537 76094,4.8,64,-,Preschool,Open · Closes 2 AM,https://www.google.com/maps/place/?q=place_id:ChIJU4pFogxP4DsRCt6Sd-e0DxA,21.1583908,72.8314953
96,Tagore Public School,"52,53 keval nagar opp water hill, near Shree Shyam Baba Mandir, Althan, Surat, Gujarat 395007, India",+91 72848 64768,-,-,-,Public educational institution,Open · Closes 5:30 PM,https://www.google.com/maps/place/?q=place_id:ChIJt_DMQAFS4DsR7OsELRP4788,21.146055399999998,72.79972599999999
97,Mount Carmel School,"6,7, dwarkesh nagar, Navagam Dindoli, Dindoli, Surat, Gujarat 394210, India",-,-,-,-,General education school,Open 24 hours,https://www.google.com/maps/place/?q=place_id:ChIJE4Rb-CdQ4DsRigFR6TwZZr0,21.157077599999997,72.8639503
98,N .D Kothari English School,"5VP5+HRW, Model Town Rd, Jai Jalaram Society, Parvat Patiya, Surat, Gujarat 395010, India",+91 83066 68265,4.9,10,-,Educational institution,-,https://www.google.com/maps/place/?q=place_id:ChIJE_fCL7FP4DsRZ9mItWrSixM,21.1864921,72.859577
99,Black Board International Pre School,"239, Kailash Nagar-1, Near D-Mart , Pandesara 239, 1, Kailash Nagar Rd, near D-Mart, Pandesara, Surat, Gujarat 394210, India",+91 90815 11666,4.8,61,-,Kindergarten,Closed · Opens 8:30 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJzcCB231P4DsR0DXm6WQrKes,21.1505237,72.81996339999999
100,Suman High School No 14,"suman high school, no 14, 120 Feet Bamroli Rd, Near Nishi telecom, Ashirwad Twp, Udhana, Surat, Gujarat 394210, India",-,-,-,-,Higher secondary school,Closes soon · 5 PM · Opens 7 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJNY3XTxZP4DsRcHUtzoN89l0,21.15601,72.8303814
